,id,source,language,date,username,name,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,1351473540839702533,Twitter Web App,de,2021-01-19 10:16:15,RicoTVjaLULey,RicoTV,"An alle Querdenker: wenn ihr Euch schon mit Anne Frank vergleichen müsst, dann bleibt doch während der Pandemie auch wenigstens auf dem verdammten Dachboden!",,37,59,6807,0,"@Johann_v_d_Bron @AKress84 Ich hätte gehoft das #Laschet es endlich gerafft hat das wir eigentlich mal einen richtigen #Lockdown brauchen. Das wäre das nicht Nummer 2 oder 3 oder ? sondern Nummer 1.
In einem richtigen Lockdown ist z.b. Büros zu, Fliegen nicht möglich usw.
Bisher gab es kein Lockdown bisher","['Laschet', 'Lockdown']"
1,1351473477396606977,Twitter for Android,de,2021-01-19 10:16:00,HW74198616,H.W.,Ehrlichkeit,,153,93,2456,0,@WIRTSCHAFTakut @RegSprecher @HBraun @Markus_Soeder @ArminLaschet @NowaboFM @OlafScholz @HeikoMaas @polenz_r @GoeringEckardt @ABaerbock @cducsubt @spdbt @fdpbt Besonders spannend ist die Diskussion (19.01. Auf B5 Aktuell) wegen Überwachung via Mobiltelefon...,[]
2,1351473440256102401,Twitter for iPhone,de,2021-01-19 10:15:51,tom21022,tom2102,Sehnsucht nach Demokratie,,1382,960,5786,0,In einem zertifizierten Unternehmen muss ein Einkäufer selbst bei einem Einkauf von 3 Sack Zement 3 Vergleichspreise haben. @ArminLaschet kauft eigenwillig ohne Vergleiche ( die Möglichkeit gewesen wären ) für Millionen Euro ein und das ohne Konsequenzen Sind ja nur Steuergelder,[]
3,1351473406588428292,Twitter for iPhone,de,2021-01-19 10:15:43,CDUNRW_Fraktion,CDU-Fraktion NRW,72 Abgeordnete vertreten die Themen und Anliegen der CDU im #ltnrw. Hier twittert die Pressestelle der CDU-Landtagsfraktion.,Nordrhein-Westfalen,810,11173,8223,1,"Heute ist ein historischer Tag. Das zweite Mal in der Geschichte unserer Fraktion ist der gewählte @CDU-Bundesvorsitzende Mitglied unserer Fraktion im #ltnrw. Noch einmal herzlichen Glückwunsch, lieber @ArminLaschet. 🎉

Der Erste war übrigens Konrad #Adenauer https://t.co/OKn0he3xI0","['ltnrw', 'Adenauer']"
4,1351473266813239298,Twitter Web App,de,2021-01-19 10:15:10,LeanderJakobine,Leander&Jakobine,"Über die Gefährdung des Kindeswohls durch die Schule
https://t.co/RDu26NPyyW",,813,902,30718,0,"@_ulmerspatz Die viel  von #Laschet gepriesene Mitte !💩
Kein #SterbenmitLaschet , #KeinSterbenMitStreeck , sondern #NoCovid !","['Laschet', 'SterbenmitLaschet', 'KeinSterbenMitStreeck', 'NoCovid']"
5,1351473243371294720,Twitter for Android,de,2021-01-19 10:15:05,GerhardtManon,Manon,"Viola, Cosmia Cornuta, Klimaschutz, Solidarität",,74,33,400,0,@Luisamneubauer @AlleDoerfer @fffHochneukirch @FridayForFuture @ArminLaschet @CDUNRW_Fraktion @RWE_AG Schluss mit Kohle! Egal wer da am Ruder ist.,[]
6,1351473162857361408,Twitter Web App,en,2021-01-19 10:14:45,cleanenergywire,Clean Energy Wire,"News, facts & analyses on Germany's energy transition. Imprint: https://t.co/KgEDaPm3kQ",Berlin,2308,9896,12124,0,"Germany and fellow EU states are only region in the world that lowered emissions by 25% since 1990. 

""Our policy approach is working"" and Germany ""on track"" towards reaching Paris Agreement's #climate targets, says #CDU energy spokesman Joachim Pfeiffer

https://t.co/vizPIqlGlq https://t.co/tbE0xVfmkD","['climate', 'CDU']"
7,1351473123921694725,Twitter for Android,de,2021-01-19 10:14:36,Kingdomcometous,Kingdom Come,"Christ, Familienmensch, Wirtschaftskorrespondent.
Einigkeit und Recht und Freiheit bewahren.",Deutschland,862,1340,20881,0,"@KleinerBuhmann Merz steht nicht mehr auf dem Briefwahlzettel. Dort steht nur der Kandidat, der in der Stichwahl mehr Stimmen hatte, also #Laschet. Jetzt geht es darum, ob #Merz Delegierte sich enthalten oder Laschet den Eindruck einer breiten Zustimmung verschaffen, aber damit unsichtbar würden","['Laschet', 'Merz']"
8,1351473087909416962,Twitter Web App,it,2021-01-19 10:14:27,RadioRadicale,Radio Radicale,Conoscere per deliberare - Dal 1976 l'archivio della democrazia,"Rome, Italy",5234,43215,70300,0,"#Navalny: ""Dopo un avvelenamento quasi fatale, il principale dissidente russo ritorna tra la grinfie dell'orso"", scrive il @nytimes.

Il nuovo leader della #CDU, le dimissioni del #Governo in #Olanda, l'inaugurazione della presidenza #Biden domani 
https://t.co/mSHNhvhCMU","['Navalny', 'CDU', 'Governo', 'Olanda', 'Biden']"
9,1351472682500583424,Twitter for iPhone,de,2021-01-19 10:12:51,GordonRepinski,Gordon Repinski,"Stv. Chefredakteur | https://t.co/h96hnWygGL ☀️ Autor „Hauptstadt - Das Briefing“ | 🎧: „Hauptstadt - Der Podcast“ | ""Race to the White House""","Berlin, Deutschland",946,13540,5240,0,@RobertRossmann @ArminLaschet Ansonsten stimmt aber eindeutig: Jürgen Rüttgers war nie Kanzlerkandidat.,[]
10,1351472665392001027,Twitter for Android,de,2021-01-19 10:12:47,0Schneewitchen,Schneewitchen 5.0,,Hinter den Bergen.....,185,215,6178,0,"@ArminLaschet @CDU @fdp_nrw @hreul @JoachimStamp 
Freitag 13:30 Uhr im Ruhrgebiet vor türkischer "" Teestube"" Ende d. Freitagsgebet ca. 100 muslimische Männer kommen a. d.Tür. Mit Gebetsteppich, jedoch ca. 25 davon ohne Maske, oder mit "" Kinnmaske"" o. Nase draußen. Danke Türken A.",[]
11,1351472634945564673,Twitter for Android,en,2021-01-19 10:12:39,morvjn,Morvjn,,,4987,1840,544523,0,"The new German Chancellor is as loyal to #Putin as #Trump

#Laschet #ArminLaschet is #PutinsPuppet https://t.co/Zs8xv2LFdL","['Putin', 'Trump', 'Laschet', 'ArminLaschet', 'PutinsPuppet']"
12,1351472585796706304,Twitter for iPad,de,2021-01-19 10:12:28,Nutzernameneu,Nutzernameneu,"Stolzer Vater mit Sohn auf dem Weg aus dem Nest, Musikkonsument, AfD und rechter Sumpf geht genauso wenig wie wirre VT",,88,131,7481,0,"Das mit den Kindern ist schlicht so nicht richtig! Verdammt nochmal, nicht ständig einfach dem Drosten-Clan glauben! @jensspahn @gaborhalasz1 @m_grill @janfleischhauer @ManuelaSchwesig @ArminLaschet @JoachimStamp @TschenPe @AndreasBovensc1 @bodoramelow @RegSprecher @MpStephanWeil https://t.co/u8cu29kWQn",[]
13,1351472512757071873,Twitter Web App,de,2021-01-19 10:12:10,AxelKilian1,Axel Kilian,,,46,1,30,0,@FridayForFuture @EvaStegen @ArminLaschet Hier wird Umweltzerstörung professionell vom Staat geschützt. Sauber Armin!,[]
